Subject,Latency,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31,Bin_32,Bin_33,Bin_34,Bin_35,Bin_36,Bin_37,Bin_38,Bin_39,Bin_40,Bin_41,Bin_42,Bin_43,Bin_44,Bin_45,Bin_46,Bin_47,Bin_48,Bin_49,Bin_50,Bin_51,Bin_52,Bin_53,Bin_54,Bin_55,Bin_56,Bin_57,Bin_58,Bin_59,Bin_60
PF17,71.1,0,0,0,1,1,1,1,3,3,3,6,7,8,8,8,9,13,15,15,19,21,21,21,23,23,23,25,25,25,25,25,25,31,33,33,38,38,38,38,38,41,43,46,49,49,49,53,53,53,57,57,57,57,58,62,62,62,62,65,67
PF18,20.1,0,1,1,6,8,10,12,15,15,15,19,20,20,20,22,23,23,24,26,26,26,28,30,31,31,31,31,31,32,34,34,34,34,36,39,40,40,40,41,43,43,45,45,45,45,45,46,47,49,50,50,51,52,52,52,52,52,52,52,52
PF19,740.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,8,9,10,11,13,13,13,13,13,13,13,14,14,16,18,19,19,19,19,19
PF20,36.1,0,1,1,4,13,30,33,33,33,41,41,41,42,48,48,55,58,58,58,59,61,62,62,62,62,62,62,66,67,67,67,67,67,69,78,78,78,78,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,86,86,86,86,86,86
PF21,75.1,0,0,0,1,1,1,1,1,1,3,9,10,14,16,19,21,23,23,23,27,28,30,33,36,37,37,37,40,42,45,45,45,45,45,45,45,45,47,49,51,54,57,57,57,57,57,57,63,64,66,66,66,66,67,68,71,71,71,71,71
PF22,78.1,0,0,0,1,10,11,11,13,20,24,25,30,37,37,37,37,37,42,43,51,53,59,59,59,59,59,59,65,73,74,81,84,85,86,86,86,86,86,86,86,87,87,88,88,88,88,89,90,90,90,90,90,90,90,90,92,92,92,92,92
PF23,58.1,0,0,1,1,1,1,4,6,9,15,15,21,23,24,28,28,28,29,31,35,37,37,41,45,45,45,51,56,56,56,60,60,60,61,64,64,65,65,65,65,65,68,72,74,75,76,81,82,83,84,84,84,84,84,84,84,84,84,84,84
PF24,509.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,5,5,6,7,7,9,10,11,14,15,16,17,18,18,18,18,20,23,25,28,29,30
PF25,44.1,0,0,1,1,1,2,3,9,11,12,12,13,16,16,16,17,19,22,25,26,26,26,26,26,26,26,26,26,26,29,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,40
PF27,120.1,0,0,0,0,0,0,4,12,20,24,24,24,24,27,33,35,36,36,36,36,36,36,36,37,37,38,39,44,47,52,58,63,64,65,68,68,68,68,68,68,68,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
PF29,463.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,6,8,9,11,13,13,13,13,13,13,13,13
PF30,44.1,0,0,1,5,10,10,10,10,10,10,10,11,11,13,13,13,14,18,20,25,26,28,29,29,30,30,30,30,30,30,30,31,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,39,40,42,42,42,42,42,42
PF32,69.1,0,0,0,6,12,21,29,35,37,38,38,38,38,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
PF33,297.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,10,12,13,14,14,14,14,16,16,17,18,20,24,29,29,29,29,29,31,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,36,38,38
